time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-08T11:01:39.000Z,-34.877,139.184,13,3.2,ml,,,,0.2,us,us1000g5at,2018-10-17T18:11:56.040Z,"12km WNW of Mannum, Australia",earthquake,8.5,4.7,,,reviewed,aust,aust
2018-07-23T13:48:30.160Z,-35.9718,144.2409,10,3,ml,,144,1.885,1.14,us,us2000gc5e,2018-10-09T16:43:32.040Z,"49km WNW of Echuca, Australia",earthquake,9.1,2,0.148,6,reviewed,us,us
2018-07-09T12:45:32.590Z,-33.1295,138.5629,8.55,3.3,ml,,148,2.128,1.27,us,us2000g0qi,2018-10-02T16:40:31.040Z,"8km NNW of Jamestown, Australia",earthquake,8.4,7.5,0.256,2,reviewed,us,us
2018-07-01T02:27:39.470Z,-33.618,136.7729,10,3.9,ml,,167,1.003,0.39,us,us2000ftar,2018-09-21T16:25:58.040Z,"26km ENE of Cleve, Australia",earthquake,8,2,0.256,2,reviewed,us,us
2018-06-20T02:54:32.190Z,-32.413,122.4811,8.11,4.5,mb,,74,4.45,0.69,us,us1000ew2s,2018-09-19T15:15:50.040Z,"170km NNE of Esperance, Australia",earthquake,7.3,4.5,0.145,14,reviewed,us,us
2018-06-18T06:26:49.110Z,-26.0891,121.5452,10,4.5,mb,,58,4.757,0.93,us,us1000eu88,2018-09-19T15:15:47.040Z,"294km NNW of Laverton, Australia",earthquake,8.6,1.9,0.18,9,reviewed,us,us
2018-06-03T06:58:29.660Z,-42.5481,124.6437,10,4.4,mb,,133,12.061,0.55,us,us1000ehqm,2018-08-28T16:30:39.040Z,"South of Australia",earthquake,6.9,1.9,0.12,20,reviewed,us,us
2018-05-12T00:50:55.680Z,-28.7372,139.3171,10,4.4,mb,,42,3.697,0.78,us,us1000e750,2018-08-08T15:22:14.040Z,"South Australia",earthquake,8.5,2,0.18,9,reviewed,us,us
2018-01-10T21:31:56.280Z,-18.867,123.3303,10,4,mb,,168,2.321,1.39,us,us2000cnw0,2018-04-03T01:40:25.040Z,"152km SE of Broome, Australia",earthquake,7.9,2,0.3,3,reviewed,us,us
2017-08-31T17:45:29.040Z,-25.7102,129.9133,10,4.3,mb,,53,4.161,0.86,us,us2000arkc,2017-11-28T18:33:55.040Z,"Northern Territory, Australia",earthquake,3.9,2,0.239,5,reviewed,us,us
2017-08-06T04:21:50.710Z,-19.1146,128.0923,4.57,4.9,mb,,39,2.535,0.96,us,us2000a5b3,2017-10-25T00:37:59.040Z,"99km SSE of Halls Creek, Australia",earthquake,3.9,3.4,0.09,39,reviewed,us,us
2017-07-15T21:27:26.350Z,-26.1405,131.9527,5.75,4.2,mb,,40,3.034,0.89,us,us20009yfa,2017-10-06T23:56:20.040Z,"South Australia",earthquake,6.3,6,0.216,6,reviewed,us,us
2017-06-09T17:16:14.240Z,-22.2934,121.1969,10,4.5,mb,,81,1.444,1.05,us,us20009msa,2017-08-16T02:42:21.040Z,"191km NE of Newman, Australia",earthquake,6.8,2,0.204,7,reviewed,us,us
2017-05-28T16:50:23.860Z,-19.8692,133.9267,6.49,4.3,mb,,64,0.394,1.04,us,us20009j83,2017-08-15T02:26:44.040Z,"37km SW of Tennant Creek, Australia",earthquake,5.9,5.4,0.147,13,reviewed,us,us
2017-04-24T07:37:25.290Z,-32.2936,138.3526,23.93,4,mb,,121,2.004,1.09,us,us10008n8q,2017-07-21T02:32:04.040Z,"30km ENE of Quorn, Australia",earthquake,6.8,10.8,0.232,5,reviewed,us,us
2017-04-19T08:55:50.170Z,-32.3091,153.1619,10,3.9,mb,,119,2.296,0.9,us,us10008k3m,2017-07-11T01:48:37.040Z,"62km ESE of Forster, Australia",earthquake,5.1,2,0.295,3,reviewed,us,us
2017-04-13T17:01:21.500Z,-25.6073,129.9183,10.8,4.5,mb,,119,4.109,0.77,us,us10008hbr,2017-07-05T18:09:58.040Z,"Northern Territory, Australia",earthquake,5.1,4.2,0.121,20,reviewed,us,us
2017-04-13T16:31:06.360Z,-33.5328,148.9562,14.53,4.2,mb,,56,0.894,1.25,us,us10008hbg,2017-07-05T18:09:58.040Z,"23km WSW of Millthorpe, Australia",earthquake,5.5,5.7,0.14,14,reviewed,us,us
2017-04-04T03:55:54.340Z,-25.9262,128.8547,13.86,4.4,mb,,45,4.885,0.97,us,us10008ghv,2017-06-23T07:26:29.040Z,"228km E of Warburton, Australia",earthquake,8.4,6.3,0.267,4,reviewed,us,us
2017-03-26T20:00:04.110Z,-31.5062,122.8771,14.98,4.1,mb,,72,4.501,0.68,us,us10008dkr,2017-06-16T23:07:57.040Z,"127km SE of Stoneville, Australia",earthquake,4.9,6.6,0.165,10,reviewed,us,us
2017-02-01T13:37:54.820Z,-35.0581,139.1956,10,3.9,mb,,111,3.439,1.22,us,us10007wmj,2017-04-27T01:38:41.040Z,"9km NW of Murray Bridge, Australia",earthquake,6.6,2,0.209,6,reviewed,us,us
2017-01-03T15:30:19.000Z,-30.609,118.455,10,4.5,mb,,,,0.74,us,us10007pgt,2017-03-27T23:53:20.040Z,"98km N of Merredin, Australia",earthquake,5.7,5.5,0.145,14,reviewed,aust,us
2016-11-10T10:24:51.000Z,-19.853,133.866,5,4.2,mb,,,,1.26,us,us100076lx,2017-02-02T02:21:06.040Z,"41km WSW of Tennant Creek, Australia",earthquake,5,1.9,0.528,1,reviewed,aust,us
2016-11-06T09:54:31.000Z,-19.106,127.987,10,4.8,mb,,,,1.14,us,us100075ug,2017-02-02T02:21:01.040Z,"95km SSE of Halls Creek, Australia",earthquake,7.2,4.7,0.113,24,reviewed,aust,us
2016-11-03T16:25:13.000Z,-29.627,137.098,10,4.1,mb,,,,0.3,us,us100076nj,2017-01-24T02:02:16.040Z,"105km N of Roxby Downs, Australia",earthquake,7,3.1,0.212,6,reviewed,aust,us
2016-08-19T14:39:22.000Z,-25.582,129.806,0,3.9,mb,,,,1.18,us,us10006ggk,2016-11-19T04:58:31.040Z,"Northern Territory, Australia",earthquake,7,2,0.296,3,reviewed,aust,us
2016-08-18T18:27:35.010Z,-19.6628,148.8618,10,4.3,mb,,146,2.49,0.52,us,us10006gd4,2016-11-15T02:21:53.040Z,"76km ENE of Bowen, Australia",earthquake,5.5,1.9,0.217,6,reviewed,us,us
2016-08-18T05:30:34.000Z,-19.73,148.92,2,4,ml,,,,0.34,us,us10006emu,2016-11-15T02:21:53.040Z,"78km ENE of Bowen, Australia",earthquake,10.7,6.8,,,reviewed,aust,aust
2016-08-18T04:30:08.800Z,-19.8352,148.7233,10,5.7,mww,,30,2.335,0.82,us,us10006em9,2017-10-31T12:42:21.340Z,"55km ENE of Bowen, Australia",earthquake,7.1,1.8,,,reviewed,us,us
2016-08-13T15:31:12.390Z,-23.8567,152.9265,10,4.6,mb,,115,2.255,1.07,us,us10006dl0,2016-11-15T02:21:47.040Z,"124km NNE of Bundaberg, Australia",earthquake,7.8,1.9,0.119,21,reviewed,us,us
2016-08-06T21:16:33.000Z,-25.572,129.804,0,4.2,mb,,,,1.42,us,us10006cca,2016-10-26T03:10:21.040Z,"Northern Territory, Australia",earthquake,6.1,2,0.373,2,reviewed,aust,us
2016-07-31T13:45:49.350Z,-19.1824,111.7783,10,4.1,mb,,166,4.138,0.68,us,us10006a4j,2016-10-19T04:51:57.040Z,"Northwest of Australia",earthquake,11,2,0.158,11,reviewed,us,us
2016-07-16T11:44:49.000Z,-32.501,122.436,0,4,mb,,,,1.32,us,us20006gfc,2016-09-17T01:27:47.040Z,"159km NNE of Esperance, Australia",earthquake,10.2,6.2,0.164,10,reviewed,aust,us
2016-07-14T10:08:55.000Z,-32.536,122.433,0,4,mb,,,,1.16,us,us20006g48,2016-09-08T01:50:31.040Z,"155km NNE of Esperance, Australia",earthquake,9,7,0.184,8,reviewed,aust,us
2016-07-08T09:40:50.000Z,-32.458,122.511,0,5.2,mb,,,,1.2,us,us100061v2,2016-09-08T01:50:22.040Z,"166km NNE of Esperance, Australia",earthquake,7.7,3.4,0.072,64,reviewed,aust,us
2016-06-19T01:54:09.000Z,-35.916,136.45,10,4.5,mb,,,,1.07,us,us200066gl,2016-08-27T02:15:28.040Z,"110km WSW of Kingscote, Australia",earthquake,5.5,1.9,0.127,18,reviewed,aust,us
2016-06-08T02:01:09.000Z,-32.337,122.386,0,4.2,mb,,,,1.72,us,us200062pn,2016-08-18T00:36:34.040Z,"173km SSE of Stoneville, Australia",earthquake,8.7,1.9,0.158,11,reviewed,aust,us
2016-06-01T13:00:47.000Z,-32.457,122.481,0,3.9,mb,,,,1.46,us,us200062k6,2016-08-10T22:30:31.040Z,"165km NNE of Esperance, Australia",earthquake,10.1,2,0.194,7,reviewed,aust,us
2016-05-28T16:38:44.000Z,-32.285,122.396,15,4.9,mb,,,,1.5,us,us20005yv7,2016-08-10T22:30:25.040Z,"168km SSE of Stoneville, Australia",earthquake,5,4.9,0.108,27,reviewed,aust,us
2016-05-28T15:30:27.000Z,-32.285,122.396,6,4.8,mb,,,,1.35,us,us20005yus,2016-08-10T22:30:25.040Z,"168km SSE of Stoneville, Australia",earthquake,8.1,5,0.111,25,reviewed,aust,us
2016-05-21T11:08:31.000Z,-25.512,129.894,0,4.1,mb,,,,1.95,us,us20005yh7,2016-08-03T22:33:40.040Z,"Northern Territory, Australia",earthquake,6.1,1.9,0.185,8,reviewed,aust,us
